q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.7227,-0.6688,0.1358,0.1089,13.896954,-79.16976,215.4982,214.8132,-0.4619,-1.123,0.1748,-0.3,0.069,0.021,-22.51,-14.378,-22.765,26
0.248,-0.1139,0.6181,-0.7371,11.489335,-93.1977,193.07901,151.56033,-0.2685,-1.268,0.166,-0.283,-0.229,0.063,-23.687,-11.687,19.499,33
0.2136,-0.3927,-0.5535,0.7026,16.961596,-105.67561,212.5979,158.35635,-0.0971,-0.7021,-0.0849,0.284,1.234,1.88,28.94,24.799,-25.847,12
0.5775,-0.4245,0.5353,-0.4467,17.974691,-75.9122,205.27399,174.32463,-0.0073,-0.5405,0.0039,-0.065,-0.143,0.889,21.662,31.539,-32.631,34
0.4742,-0.3689,0.6168,-0.5083,0.01839789,-77.789505,204.51227,177.44504,-0.2045,-0.9946,-0.0273,0.0,-0.014,0.005,-30.674,-13.747,29.155,34
0.5329,-0.4391,-0.4868,0.5349,27.718792,-86.471176,175.07022,195.58536,-0.0351,-1.6635,0.4252,-0.665,0.43,0.92,-15.737,-8.087,-19.337,46
0.3359,-0.2185,0.6111,-0.6825,5.511477,-89.403275,191.08359,157.72658,-0.2397,-0.9428,0.1796,0.165,0.159,-0.335,-10.337,2.713,-15.3,38
0.649,-0.562,0.2951,-0.4191,6.0938334,-86.494385,171.56473,156.4079,-0.0375,-0.8505,0.2441,-0.088,-0.089,-0.238,25.199,-14.987,26.999,27
0.6079,-0.4257,0.447,-0.4992,17.091017,-79.399124,190.93462,157.51457,-0.0898,-1.0532,0.2939,-0.3,1.152,-0.241,-23.237,-8.687,30.149,32
0.5834,-0.3219,-0.4686,0.5799,17.233593,-75.78219,165.39468,217.02162,0.3457,-0.8095,0.1474,0.218,-0.371,0.549,-12.45,28.949,1.664,36
0.3744,-0.1196,0.6276,-0.6719,5.760115,-79.33893,209.29202,143.42401,-0.1025,-0.8652,0.0917,-0.022,-0.851,0.685,18.449,-17.687,30.599,33
0.6962,-0.5124,0.4072,-0.2947,10.809648,-72.472145,206.10226,180.61287,-0.3212,-0.9125,0.102,0.028,0.633,-0.618,6.392,-6.426,-11.736,44
0.515,-0.3885,0.5259,-0.5541,20.14735,-83.793495,191.09306,162.984,-0.4531,-1.1113,0.1875,-0.611,0.481,-0.084,15.599,32.549,-17.087,30
0.5844,-0.4424,0.433,-0.5245,6.468833,-83.78985,183.90225,155.47957,-0.0664,-0.9311,0.3115,-0.037,-0.537,0.067,-9.0,-22.187,-6.9,47
0.6846,-0.4305,0.5331,-0.248,8.587944,-58.958176,231.93182,189.07054,-0.4521,-0.6284,0.0502,0.32,0.121,-0.248,27.449,31.649,6.599,48
0.7857,-0.5696,0.2251,0.0864,25.36436,-63.175,219.78441,212.72104,-0.1357,-0.788,0.1586,0.031,0.667,1.751,18.749,-7.337,17.999,37
0.333,-0.0644,0.6281,-0.7002,5.235401,-80.91085,210.5296,138.25462,-0.435,-0.916,0.1406,-0.303,-0.441,1.518,-5.247,30.228,-17.008,35
0.4363,-0.3628,-0.4517,0.6883,11.471987,-96.69761,189.06372,218.1633,-0.226,-0.6259,0.0908,0.639,0.708,0.342,13.499,30.899,20.113,46
0.4647,0.0029,0.573,-0.6749,20.231031,-62.989136,223.55219,119.83429,-0.0737,-0.9375,0.4692,0.056,0.51,-1.729,19.37,11.143,-14.76,35
0.5668,-0.3993,0.5175,-0.5012,10.957635,-78.5305,198.49184,165.02101,-0.3486,-1.1665,0.0273,-0.022,-1.3,0.808,-15.75,-15.887,-14.687,30
0.2715,-0.248,0.5732,-0.7322,27.3704,-100.33602,175.12451,163.97116,0.2963,-0.9458,0.1206,0.065,-0.566,0.613,-20.85,28.649,-2.387,25
0.7388,-0.6564,0.119,0.0952,14.878355,-78.53425,210.33202,209.69382,-0.4536,-0.7744,0.1171,0.051,0.167,-0.291,14.539,19.808,-19.465,26
0.5277,-0.4523,0.5047,-0.5119,9.072376,-85.80464,187.3672,171.0233,0.1494,-1.0126,0.0234,-0.149,-0.365,0.29,-13.35,11.414,-18.587,28
0.4222,-0.4188,0.4855,-0.6406,19.526573,-98.63071,167.72307,161.57666,-0.0859,-1.1259,0.1904,0.422,-0.882,0.759,-31.2,27.749,16.649,47
0.5014,-0.2987,-0.5,0.6396,5.545974,-83.09431,169.67877,217.73395,0.0961,-0.9667,0.3334,-0.102,0.513,-0.157,-16.05,-12.137,0.463,36
0.4558,-0.3708,0.3962,-0.7054,6.9778934,-95.922714,166.90207,128.83528,0.1992,-1.0429,0.4702,-0.1,-0.41,-0.096,29.849,29.849,3.164,43
0.0353,-0.0319,-0.6238,0.78,5.4692464,-102.63811,180.53792,182.24086,-0.0351,-0.7153,0.0507,0.323,-0.786,0.402,20.549,-10.937,27.149,7
0.7126,-0.6572,0.1462,0.1967,13.06312,-74.360664,226.26309,228.11705,-0.3461,-0.8686,-0.04,0.19,0.335,0.148,-4.06,2.572,-30.565,26
0.7136,-0.6772,0.179,-0.0044,6.57648,-82.28875,207.53044,204.61292,-0.2524,-1.0263,0.1381,-0.068,1.357,-0.546,-17.987,-2.837,-32.387,19
0.7357,-0.6769,0.0088,-0.0178,2.5433545,-85.23766,178.8205,178.48892,0.1508,-0.9487,0.142,-0.382,1.029,-0.609,-7.5,30.749,-8.387,14
0.5673,-0.4153,0.4586,-0.5432,1.5039698,-83.29793,186.41536,155.05594,-0.0874,-0.9687,0.2377,-0.05,-0.037,-0.015,-4.05,-22.187,-9.9,47
0.6186,-0.6669,0.1446,-0.3891,0.5459858,-95.132866,144.67802,140.65973,0.2636,-0.9619,0.1074,-0.176,-0.075,-0.115,-28.154,-26.117,-3.746,5
0.4823,-0.2751,-0.5438,0.6291,5.479448,-81.57704,163.83975,212.46419,0.1972,-0.9223,0.0336,0.363,0.769,0.789,19.949,-5.387,-28.337,36
0.7187,-0.5881,0.2543,-0.2698,8.760322,-80.25064,184.68277,171.2724,-0.0146,-0.9208,0.0131,-0.335,-0.43,-0.046,19.049,-22.487,24.299,8
0.5324,-0.35,-0.4555,0.6216,12.197417,-84.15109,175.73398,218.51547,0.0112,-0.8706,0.3334,-0.005,-0.701,-0.211,14.699,-17.837,-20.987,36
0.3217,-0.2368,-0.5867,0.7043,21.75833,-94.01994,175.80392,202.15218,-0.185,-0.7319,0.1489,0.008,0.215,-0.872,-23.387,-15.437,-5.85,41
0.3572,-0.0017,0.5953,-0.7196,13.201097,-76.33739,216.2743,124.04468,-0.5976,-0.7949,0.2954,-0.182,0.563,-1.932,-17.572,9.32,3.585,35
0.2327,-0.3725,-0.5912,0.6763,9.658535,-99.95855,205.20187,162.3013,-0.0766,-0.8159,-0.0356,0.284,0.873,1.388,-32.546,-22.437,20.789,12
0.6205,-0.4804,0.4565,-0.4191,23.782614,-78.89483,196.6261,172.14346,-0.1064,-0.998,0.1884,0.487,-0.564,-0.154,21.415,26.073,-9.024,44
0.5771,-0.392,0.4409,-0.5645,3.7227273,-81.72971,185.8255,147.65903,0.2368,-0.811,0.1762,1.19,-0.748,1.509,-31.65,-32.687,18.749,47
0.1199,-0.0692,0.7025,-0.698,32.691433,-88.81175,188.19418,172.0982,-0.4604,-1.2661,0.1215,-0.238,0.153,-0.106,-27.726,2.424,-6.824,11
0.7739,-0.6078,-0.1075,0.1412,21.007586,-76.851204,180.48645,188.23299,-0.1933,-1.2011,0.3657,-0.007,-0.178,0.515,-26.066,-3.416,-7.001,15
0.414,-0.3594,0.5312,-0.6458,10.385303,-93.83596,177.62776,160.86574,-0.2011,-1.4638,0.125,-0.53,-0.938,0.111,-7.05,25.799,5.549,42
0.6724,-0.5327,0.3235,-0.399,3.0760722,-81.55163,180.93236,160.44246,0.041,-0.9863,0.1293,0.057,-0.158,0.037,-0.6,20.414,-31.037,21
0.6798,-0.3539,0.602,-0.2236,16.309063,-48.81614,245.61035,188.46837,-0.4409,-0.6611,0.1132,-0.109,-0.791,0.087,-20.25,-31.487,25.799,48
0.6772,-0.5831,0.344,-0.2877,0.5930197,-81.12274,193.73445,181.14322,-0.1333,-1.0,0.0869,-0.009,-0.018,-0.011,11.065,28.623,-25.374,44
0.7164,-0.4261,0.4631,-0.3009,22.90917,-62.832237,217.26141,177.12863,-0.4404,-1.226,0.1733,-0.162,0.723,-0.255,-17.284,31.173,3.125,44
0.5831,-0.3489,0.5213,-0.516,16.152624,-74.32769,203.10748,157.98483,-0.2421,-0.9711,0.1801,0.087,0.541,0.005,8.699,10.813,30.149,30
0.3599,-0.1392,0.6077,-0.694,3.8810785,-83.844666,202.59708,143.35706,0.0986,-1.0971,0.0322,-0.024,-0.184,-0.516,-0.6,-15.587,-10.337,33
0.4595,-0.3028,-0.5164,0.656,0.44040018,-87.48512,173.10419,213.77728,0.0834,-0.956,0.2841,0.012,-0.139,-0.015,29.549,-1.937,30.299,36
0.6483,-0.6675,0.1109,-0.3488,7.481885,-91.5857,146.92355,141.25616,0.6665,-0.9877,0.1293,1.746,-0.833,1.483,23.782,12.875,16.859,5
0.6769,-0.5942,0.2809,-0.3312,29.01524,-85.03426,178.6566,167.82547,-0.0454,-1.1235,0.1132,-0.453,-0.528,-0.126,8.249,-13.037,18.599,3
0.4871,-0.5281,0.2809,-0.6362,38.161118,-101.678345,145.53267,125.86989,-0.2778,-1.2045,0.0761,0.118,1.966,-0.713,9.749,-9.587,-32.387,31
0.124,0.1318,0.7228,-0.6668,26.904203,-78.83615,222.20279,143.38412,-0.2773,-0.831,-0.1352,0.14,0.116,0.097,6.616,-7.049,-1.914,29
0.7744,-0.6298,0.0557,-0.0171,9.473026,-78.024475,186.1753,184.1495,-0.1293,-0.7949,0.2309,-0.225,-0.28,-0.114,3.449,6.613,16.799,37
0.732,-0.6302,0.2182,-0.1386,17.746641,-80.12123,194.85895,187.0724,-0.0361,-0.3305,0.0991,1.026,-1.279,1.512,24.149,-23.537,-19.037,17
0.1531,-0.3345,-0.5248,0.7676,17.974207,-112.31693,212.12802,158.02417,-0.1992,-0.8227,0.1093,0.049,-0.094,1.414,-30.737,30.599,11.999,41
0.4559,-0.385,-0.5986,0.5343,4.3536224,-82.351715,164.48674,182.6563,0.6821,-1.2866,-0.0161,-0.123,-1.252,0.267,-9.435,-29.869,5.019,16
