q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.3191,-0.1841,-0.6186,0.6939,-0.102,-0.9472,0.081,0.685,0.597,-0.865,26.099,32.249,20.549,40
0.8205,-0.5373,0.1941,0.0147,-0.2304,-1.1948,0.3808,-0.207,0.661,-1.474,31.499,-1.187,0.149,50
0.0333,-0.0558,-0.6219,0.7803,0.1005,-0.9311,0.5463,0.609,-0.568,-0.051,-12.67,11.404,-3.688,18
0.1897,-0.2181,-0.606,0.741,-0.0556,-1.0146,0.1655,0.154,-0.211,-0.107,23.849,25.363,4.499,41
0.7022,-0.7013,0.1002,-0.0699,0.0898,-0.8935,-0.02,0.153,-0.959,0.64,-16.65,-12.737,-6.887,19
0.3402,-0.3399,-0.5185,0.7069,-0.1245,-0.996,0.1875,-0.01,0.032,-0.245,-8.329,2.387,-14.249,22
0.6501,-0.5078,0.3459,-0.4469,0.0483,-1.061,0.289,-0.154,0.692,-0.611,-10.35,8.263,-21.887,21
0.6414,-0.3226,0.6216,-0.3129,-0.7895,-1.038,0.0947,-0.409,-0.515,0.142,7.349,7.499,31.649,48
0.1396,-0.2446,0.562,-0.7776,0.1015,-1.2241,0.4492,0.403,1.843,-0.557,14.699,-13.337,27.599,25
0.0918,-0.2953,-0.6393,0.7039,-0.6845,-1.2377,-0.1445,-1.53,-1.652,-0.683,-30.887,-21.137,-20.387,29
0.7138,-0.5422,0.2908,-0.3343,0.0234,-1.0952,0.2558,-0.094,-0.661,0.255,26.399,-15.587,19.499,8
0.6253,-0.5229,0.3265,-0.4783,0.0039,-1.145,0.2861,-0.104,-0.139,0.168,1.649,-21.137,-26.237,21
0.7621,-0.6043,0.082,-0.2172,-0.3115,-1.0971,0.2202,0.005,1.46,-0.86,-19.187,-22.487,5.549,37
0.6241,-0.4688,0.4507,-0.4329,-0.184,-0.8291,0.1372,-0.115,0.163,-0.567,-28.084,-3.476,16.325,44
0.7233,-0.6688,0.0892,0.1462,-0.208,-1.1909,-0.1157,-0.226,-1.421,0.676,-0.91,-28.178,-30.415,26
0.5208,-0.4546,-0.4251,0.5841,-0.2685,-0.8496,0.3051,-0.032,0.269,-0.055,16.649,15.164,-2.987,46
0.5606,-0.4129,0.4208,-0.5813,-0.1132,-0.8906,0.4013,0.118,0.698,-0.393,9.016,26.745,-14.342,4
0.6434,-0.3262,0.6205,-0.3072,-0.6831,-1.1528,0.1396,-0.215,-0.19,0.062,7.349,7.499,31.649,48
0.2252,-0.1202,-0.6028,0.7558,0.1889,-0.6616,0.2329,0.333,0.672,0.228,-9.407,-21.699,-23.157,18
