q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.7699,-0.6317,-0.0445,0.0778,0.89579535,-78.868546,182.84807,186.11899,-0.1166,0.2001,51
0.77,-0.6315,-0.0451,0.0782,0.9052108,-78.846245,182.80318,186.10645,-0.1108,0.1909,51
0.7701,-0.6312,-0.0461,0.0785,0.9330676,-78.81634,182.6859,186.0312,-0.1005,0.186,51
0.7703,-0.6309,-0.0472,0.0787,1.0199482,-78.779144,182.54036,185.92912,-0.0893,0.1928,51
0.7707,-0.6303,-0.0486,0.0789,1.1399096,-78.70143,182.34315,185.79355,-0.0712,0.1782,51
0.7712,-0.6296,-0.0501,0.0789,1.2694081,-78.60701,182.1045,185.61797,-0.0751,0.2041,51
0.7716,-0.6289,-0.0515,0.0789,1.3887372,-78.51911,181.88231,185.45526,-0.0791,0.1801,51
0.7719,-0.6284,-0.0527,0.0792,1.4925371,-78.456184,181.72989,185.35954,-0.101,0.1567,51
0.772,-0.6281,-0.0538,0.0798,1.5958706,-78.426,181.63382,185.31818,-0.125,0.1289,51
0.7719,-0.628,-0.0548,0.081,1.7133712,-78.429634,181.62973,185.37505,-0.1479,0.1147,51
0.7717,-0.6281,-0.0558,0.0826,1.8866311,-78.45955,181.67786,185.48854,-0.1635,0.0795,51
0.7715,-0.6279,-0.057,0.0843,2.0827262,-78.463646,181.70384,185.5957,-0.1689,0.0551,51
0.7714,-0.6276,-0.0581,0.0861,2.270559,-78.45184,181.75314,185.73097,-0.1435,0.0698,51
0.7713,-0.6275,-0.0591,0.0879,2.4663897,-78.45775,181.82025,185.87613,-0.1166,0.0751,51
0.771,-0.6274,-0.0596,0.0902,2.4303,-78.47873,182.02316,186.1551,-0.0336,0.1186,51
0.771,-0.6275,-0.0591,0.0902,2.2831268,-78.48641,182.09816,186.21452,-0.0039,0.1728,51
0.7712,-0.6275,-0.0582,0.0889,2.0839334,-78.46594,182.07253,186.13223,0.0395,0.1992,51
0.7717,-0.6273,-0.057,0.0867,1.8709673,-78.40277,181.97604,185.95612,0.0605,0.2309,51
0.7726,-0.6268,-0.0554,0.0835,1.7392712,-78.28043,181.80933,185.6845,0.0771,0.2719,51
0.7737,-0.6261,-0.0536,0.0797,1.7720666,-78.12418,181.59666,185.35051,0.0688,0.2792,51
0.775,-0.6252,-0.0515,0.0755,1.9925869,-77.93457,181.37772,184.99527,0.0571,0.2695,51
0.7764,-0.6242,-0.0496,0.0713,2.337449,-77.72982,181.13026,184.61652,0.0058,0.2993,51
0.7778,-0.623,-0.0479,0.0673,2.7021632,-77.5086,180.87822,184.24461,-0.0327,0.3076,51
0.7791,-0.6218,-0.0465,0.0639,2.9790347,-77.296974,180.65723,183.92456,-0.0825,0.3125,51
0.78,-0.621,-0.0455,0.0614,3.087713,-77.15297,180.49406,183.68471,-0.1303,0.2973,51
0.7802,-0.6209,-0.0446,0.0602,2.9790719,-77.12573,180.48305,183.61572,-0.1801,0.269,51
0.7796,-0.6217,-0.0436,0.0607,2.6701586,-77.24099,180.70213,183.79822,-0.2041,0.2475,51
0.7781,-0.6234,-0.0431,0.0624,2.3026469,-77.50445,181.00873,184.09001,-0.2207,0.208,51
0.7764,-0.6253,-0.0433,0.0644,2.0280259,-77.8014,181.25569,184.34238,-0.2324,0.2011,51
0.7752,-0.6267,-0.0445,0.0656,1.940317,-78.01741,181.25241,184.36267,-0.2104,0.2143,51
0.7746,-0.6271,-0.0466,0.0655,2.0563145,-78.09868,180.94408,184.09218,-0.1484,0.2543,51
0.7749,-0.6268,-0.0489,0.0644,2.2664924,-78.048195,180.46875,183.65837,-0.0776,0.3046,51
0.7754,-0.6262,-0.0508,0.0628,2.5380456,-77.95257,179.9877,183.20337,-0.0263,0.3496,51
0.7754,-0.6264,-0.0517,0.0595,2.5447938,-77.95607,179.46617,182.60884,-0.0297,0.3662,51
0.7747,-0.6274,-0.051,0.0583,2.5173132,-78.09146,179.44328,182.50291,-0.0605,0.3403,51
0.7737,-0.6288,-0.0501,0.0573,2.5169725,-78.2853,179.47984,182.44543,-0.1108,0.3188,51
0.7727,-0.6302,-0.0495,0.0563,2.558225,-78.47873,179.47148,182.35225,-0.1538,0.2988,51
0.7719,-0.6313,-0.0495,0.0553,2.640407,-78.63003,179.36893,182.19026,-0.1582,0.2729,51
0.7713,-0.6321,-0.0499,0.0542,2.997428,-78.73884,179.18959,181.96838,-0.1513,0.2719,51
0.7708,-0.6328,-0.0517,0.0509,3.2462468,-78.816376,178.53278,181.25145,-0.0825,0.2929,51
0.7709,-0.6328,-0.0526,0.0488,3.8436964,-78.79474,178.14326,180.83192,-0.0581,0.2944,51
0.7715,-0.6323,-0.054,0.0438,4.6565657,-78.67136,177.32031,179.93246,-0.0498,0.3178,51
0.7724,-0.6317,-0.0542,0.0367,4.8780947,-78.50531,176.42117,178.87407,-0.0771,0.3217,51
0.7723,-0.6319,-0.0538,0.0346,5.080944,-78.518234,176.22679,178.60919,-0.0781,0.3227,51
0.772,-0.6325,-0.0533,0.0326,5.296354,-78.58226,176.06157,178.36493,-0.083,0.3281,51
0.7716,-0.633,-0.0526,0.0305,5.525641,-78.64534,175.91237,178.12994,-0.0756,0.33,51
0.7713,-0.6336,-0.0517,0.0283,5.7925067,-78.710846,175.78043,177.90442,-0.0859,0.3461,51
0.771,-0.6342,-0.0506,0.0258,6.08942,-78.775795,175.64066,177.65884,-0.083,0.3579,51
0.7708,-0.6346,-0.0494,0.0231,6.401641,-78.81536,175.48965,177.39893,-0.0893,0.3691,51
0.7706,-0.6351,-0.048,0.0203,6.719066,-78.86484,175.35585,177.14764,-0.0874,0.3618,51
0.7704,-0.6355,-0.0468,0.0175,7.005158,-78.90409,175.19135,176.87308,-0.1054,0.3706,51
0.7702,-0.6359,-0.0457,0.015,7.245883,-78.94486,175.04822,176.63084,-0.1152,0.3784,51
0.7699,-0.6363,-0.0449,0.0129,7.427565,-78.99335,174.90874,176.4102,-0.1259,0.3833,51
0.7695,-0.6369,-0.0445,0.0113,7.5504966,-79.06686,174.77074,176.21194,-0.1323,0.3715,51
0.769,-0.6375,-0.0445,0.0102,7.6142235,-79.14764,174.63379,176.03761,-0.1333,0.352,51
0.7683,-0.6383,-0.045,0.0096,7.64419,-79.259476,174.48296,175.87172,-0.1225,0.3452,51
0.7676,-0.6391,-0.046,0.0093,7.6312604,-79.368484,174.29436,175.68834,-0.1137,0.3413,51
0.7669,-0.6398,-0.0474,0.0094,7.6012096,-79.467445,174.0953,175.51521,-0.1088,0.3364,51
0.7662,-0.6406,-0.049,0.0097,7.56695,-79.57421,173.89131,175.34528,-0.0766,0.3271,51
