q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.2014,-0.4815,0.4924,-0.6964,0.1274,-1.4067,-0.0078,-0.532,-1.125,-0.118,-11.4,-13.637,-27.887,1
0.246,-0.5292,0.4724,-0.6604,0.4145,-0.7416,0.0361,0.618,-1.888,0.257,-13.5,-15.887,-23.837,1
0.2536,-0.5338,0.4689,-0.6563,0.3916,-0.7182,0.0454,0.664,-1.988,0.426,-13.5,-15.887,-23.837,1
0.3073,-0.5551,0.4521,-0.6268,0.4653,-0.7607,-0.2089,1.172,-2.803,1.253,-13.5,-15.887,-23.837,1
0.3353,-0.5623,0.4411,-0.6137,0.5009,-0.8046,-0.2026,1.665,-2.805,1.343,-13.5,-15.887,-23.837,1
0.4382,-0.4495,0.4865,-0.6074,0.1176,-0.789,0.0166,-0.171,1.262,1.357,-8.55,-22.187,32.399,1
0.4394,-0.4434,0.4926,-0.6062,0.1054,-0.8164,0.0004,-0.222,1.091,1.435,-8.55,-22.187,32.399,1
0.4414,-0.4378,0.4984,-0.604,0.081,-0.8422,-0.0107,-0.27,0.822,1.567,-8.55,-22.187,32.399,1
0.4442,-0.4327,0.504,-0.601,0.0419,-0.8481,-0.0307,-0.282,0.592,1.651,-8.55,-22.187,32.399,1
0.4557,-0.4194,0.5158,-0.5918,0.0234,-0.8925,-0.0844,0.088,0.07,1.514,-8.55,-22.187,32.399,1
0.4827,-0.382,0.5375,-0.5762,0.0878,-1.1997,0.0766,-0.03,1.092,0.68,1.649,-26.837,28.049,1
0.4777,-0.3747,0.5442,-0.5789,0.0317,-1.1645,0.0952,-0.079,1.13,0.089,1.649,-26.837,28.049,1
0.4615,-0.372,0.5509,-0.5872,0.1547,-1.3061,0.1054,-0.3,0.535,-0.401,1.649,-26.837,28.049,1
0.4581,-0.3716,0.5525,-0.5888,0.1684,-1.3652,0.1298,-0.223,0.724,-0.404,1.649,-26.837,28.049,1
0.453,-0.37,0.5542,-0.592,0.1381,-1.3247,0.1713,-0.094,1.172,-0.606,1.649,-26.837,28.049,1
0.4458,-0.3675,0.5562,-0.5972,0.0668,-1.2299,0.1865,0.05,1.71,-0.927,1.649,-26.837,28.049,1
0.4267,-0.3617,0.5605,-0.6105,-0.0625,-0.9985,0.1557,-0.028,2.207,-1.404,1.649,-26.837,28.049,1
0.3649,-0.3895,0.5655,-0.6285,-0.083,-1.0566,0.0786,-0.253,-0.929,-1.261,1.349,-28.187,-29.687,1
0.3647,-0.3972,0.5604,-0.6285,-0.0488,-1.0322,0.0419,0.075,-1.366,-1.405,1.349,-28.187,-29.687,1
0.2858,-0.4695,0.4895,-0.6769,0.2758,-0.937,0.122,0.075,0.876,-1.365,-15.0,-31.937,-22.037,1
0.265,-0.4666,0.4865,-0.6893,0.2358,-1.0771,0.1953,-0.142,1.28,-1.228,-15.0,-31.937,-22.037,1
0.2572,-0.4652,0.4862,-0.6934,0.206,-1.123,0.2055,-0.227,1.368,-1.235,-15.0,-31.937,-22.037,1
0.2489,-0.4639,0.4863,-0.6972,0.1733,-1.1699,0.2021,-0.338,1.394,-1.241,-15.0,-31.937,-22.037,1
0.2407,-0.4632,0.4865,-0.7004,0.1074,-1.2182,0.163,-0.458,1.242,-1.26,-15.0,-31.937,-22.037,1
0.2198,-0.4682,0.4862,-0.7042,0.062,-1.2641,0.0761,-0.635,0.232,-1.197,-15.0,-31.937,-22.037,1
0.2021,-0.5002,0.4821,-0.6902,0.1601,-1.122,-0.1245,-0.321,-1.906,-0.268,-15.0,-31.937,-22.037,1
0.2074,-0.5089,0.4801,-0.6836,0.2919,-1.1303,-0.1494,-0.193,-2.541,-0.05,-23.55,30.149,-15.437,1
0.2225,-0.5262,0.475,-0.6692,0.6,-1.0434,-0.1225,0.166,-2.801,0.33,-23.55,30.149,-15.437,1
