q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.7686,-0.6334,-0.0442,0.0774,0.7208649,-79.11247,182.89003,186.08316,-0.062,-0.9853,0.2065,0.037,0,0.018,20.699,2.863,-3.6,51
0.7687,-0.6333,-0.044,0.0775,0.7400062,-79.09568,182.92851,186.12334,-0.0712,-0.9985,0.2104,0.03,0.007,0.014,20.699,2.863,-3.6,51
0.7692,-0.6327,-0.0434,0.0772,0.84890956,-79.00339,182.96391,186.15715,-0.1083,-0.9887,0.1992,0.05,0.011,-0.034,20.699,2.863,-3.6,51
0.7696,-0.6322,-0.0437,0.0773,0.8850282,-78.93114,182.91798,186.13896,-0.1166,-0.9707,0.1967,0.057,-0.05,-0.044,21.299,3.914,-3.45,51
0.7698,-0.6319,-0.044,0.0775,0.8879245,-78.891335,182.89023,186.13416,-0.1118,-0.955,0.1992,0.057,-0.089,-0.048,21.299,3.914,-3.45,51
0.7699,-0.6317,-0.0445,0.0778,0.89579535,-78.868546,182.84807,186.11899,-0.1166,-0.958,0.2001,0.044,-0.126,-0.046,21.299,3.914,-3.45,51
0.77,-0.6315,-0.0451,0.0782,0.9052108,-78.846245,182.80318,186.10645,-0.1108,-0.9414,0.1909,0.042,-0.159,-0.064,21.299,3.914,-3.45,51
0.7701,-0.6312,-0.0461,0.0785,0.9330676,-78.81634,182.6859,186.0312,-0.1005,-0.9213,0.186,0.047,-0.2,-0.105,21.299,3.914,-3.45,51
0.7703,-0.6309,-0.0472,0.0787,1.0199482,-78.779144,182.54036,185.92912,-0.0893,-0.8979,0.1928,0.067,-0.22,-0.144,21.299,3.914,-3.45,51
0.7712,-0.6296,-0.0501,0.0789,1.2694081,-78.60701,182.1045,185.61797,-0.0751,-0.8339,0.2041,0.161,-0.243,-0.198,21.299,3.914,-3.45,51
0.7716,-0.6289,-0.0515,0.0789,1.3887372,-78.51911,181.88231,185.45526,-0.0791,-0.871,0.1801,0.135,-0.237,-0.207,21.299,3.914,-3.45,51
0.7719,-0.6284,-0.0527,0.0792,1.4925371,-78.456184,181.72989,185.35954,-0.101,-0.8994,0.1567,0.12,-0.241,-0.149,21.299,3.914,-3.45,51
0.7715,-0.6279,-0.057,0.0843,2.0827262,-78.463646,181.70384,185.5957,-0.1689,-1.1352,0.0551,0.015,-0.414,0.115,21.299,3.914,-3.45,51
0.7714,-0.6276,-0.0581,0.0861,2.270559,-78.45184,181.75314,185.73097,-0.1435,-1.1645,0.0698,0.022,-0.43,0.146,21.299,3.914,-3.45,51
0.7713,-0.6275,-0.0591,0.0879,2.4663897,-78.45775,181.82025,185.87613,-0.1166,-1.1831,0.0751,0.007,-0.382,0.158,21.299,3.914,-3.45,51
0.771,-0.6274,-0.0596,0.0902,2.4303,-78.47873,182.02316,186.1551,-0.0336,-1.1733,0.1186,-0.006,-0.106,0.14,21.299,3.914,-3.45,51
0.771,-0.6275,-0.0591,0.0902,2.2831268,-78.48641,182.09816,186.21452,-0.0039,-1.1162,0.1728,0.003,0.089,0.056,21.299,3.914,-3.45,51
0.7717,-0.6273,-0.057,0.0867,1.8709673,-78.40277,181.97604,185.95612,0.0605,-1.0048,0.2309,0.085,0.496,-0.176,18.449,1.664,-3.3,51
0.775,-0.6252,-0.0515,0.0755,1.9925869,-77.93457,181.37772,184.99527,0.0571,-0.7973,0.2695,0.278,0.86,-0.422,18.449,1.664,-3.3,51
0.7764,-0.6242,-0.0496,0.0713,2.337449,-77.72982,181.13026,184.61652,0.0058,-0.7309,0.2993,0.337,0.849,-0.452,18.449,1.664,-3.3,51
0.7778,-0.623,-0.0479,0.0673,2.7021632,-77.5086,180.87822,184.24461,-0.0327,-0.6938,0.3076,0.362,0.775,-0.448,18.449,1.664,-3.3,51
0.7791,-0.6218,-0.0465,0.0639,2.9790347,-77.296974,180.65723,183.92456,-0.0825,-0.6728,0.3125,0.34,0.651,-0.401,18.449,1.664,-3.3,51
0.7802,-0.6209,-0.0446,0.0602,2.9790719,-77.12573,180.48305,183.61572,-0.1801,-0.8217,0.269,0.031,0.292,-0.091,18.449,1.664,-3.3,51
0.7796,-0.6217,-0.0436,0.0607,2.6701586,-77.24099,180.70213,183.79822,-0.2041,-0.9633,0.2475,-0.197,0.082,0.152,18.449,1.664,-3.3,51
0.7764,-0.6253,-0.0433,0.0644,2.0280259,-77.8014,181.25569,184.34238,-0.2324,-1.1381,0.2011,-0.499,-0.279,0.353,18.449,1.664,-3.3,51
0.7746,-0.6271,-0.0466,0.0655,2.0563145,-78.09868,180.94408,184.09218,-0.1484,-1.0908,0.2543,-0.175,-0.323,-0.285,18.449,1.664,-3.3,51
0.7749,-0.6268,-0.0489,0.0644,2.2664924,-78.048195,180.46875,183.65837,-0.0776,-1.0512,0.3046,0.017,-0.237,-0.501,18.449,1.664,-3.3,51
0.7754,-0.6262,-0.0508,0.0628,2.5380456,-77.95257,179.9877,183.20337,-0.0263,-0.9873,0.3496,0.061,-0.092,-0.526,18.449,1.664,-3.3,51
0.7737,-0.6288,-0.0501,0.0573,2.5169725,-78.2853,179.47984,182.44543,-0.1108,-1.0161,0.3188,-0.379,0.261,-0.068,18.449,1.664,-3.3,51
0.7727,-0.6302,-0.0495,0.0563,2.558225,-78.47873,179.47148,182.35225,-0.1538,-1.0209,0.2988,-0.384,0.21,-0.104,19.199,1.363,-2.55,51
