q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.3982,-0.4126,0.5324,-0.6225,10.469332,-96.43972,170.6111,172.69617,-0.0649,-1.0815,-0.0019,-0.14,0.798,0.128,-1.2,-5.837,26.999,1
0.3832,-0.4067,0.5417,-0.6278,11.858049,-96.74279,169.91222,174.72974,-0.0595,-1.247,-0.0083,0.022,0.194,-0.468,-1.2,-5.837,26.999,1
0.3815,-0.408,0.5406,-0.6289,11.687789,-97.03666,169.36642,174.93568,-0.0605,-1.2807,-0.0292,0.026,0.017,-0.555,-1.2,-5.837,26.999,1
0.3799,-0.4156,0.5352,-0.6295,10.876269,-97.87232,167.69,175.55493,0.0766,-1.3969,-0.0029,0.029,-0.511,-0.469,-1.2,-5.837,26.999,1
0.3498,-0.4667,0.5052,-0.636,9.914996,-104.11132,154.31656,184.03589,0.4013,-0.8261,0.0502,0.154,-0.66,0.22,2.849,-6.437,28.649,1
0.352,-0.4664,0.5043,-0.6357,14.548058,-104.04959,154.60356,183.46469,0.4028,-0.871,0.0678,0.319,-0.288,0.328,2.849,-6.437,28.649,1
0.3162,-0.4546,0.5022,-0.664,17.263775,-107.06965,150.3698,185.96301,0.1743,-0.956,0.0903,-0.54,0.627,-1.182,-4.95,-8.087,32.099,1
0.2887,-0.4788,0.4875,-0.6705,22.60499,-110.36424,142.6171,194.15025,0.2734,-0.6943,0.0874,-0.042,-0.191,-1.116,-4.95,-8.087,32.099,1
0.2343,-0.48,0.4807,-0.6953,25.51373,-113.31418,135.34038,206.68613,0.249,-1.1665,0.1933,-0.415,1.167,-0.456,-11.4,-13.637,-27.887,1
0.2236,-0.4761,0.4842,-0.699,26.738287,-113.09096,134.74016,209.25221,0.2148,-1.2661,0.1523,-0.51,1.035,-0.495,-11.4,-13.637,-27.887,1
0.2141,-0.473,0.4869,-0.7022,28.199263,-112.880394,134.15579,211.56516,0.1738,-1.2856,0.1567,-0.4,0.878,-0.462,-11.4,-13.637,-27.887,1
0.2031,-0.4722,0.4902,-0.7038,28.623503,-112.40441,133.09677,214.911,0.0844,-1.2275,0.1386,-0.501,0.231,-0.386,-11.4,-13.637,-27.887,1
0.2011,-0.4739,0.4911,-0.7025,28.568027,-112.15862,132.64175,215.98363,0.0703,-1.2685,0.0976,-0.545,-0.124,-0.322,-11.4,-13.637,-27.887,1
0.2004,-0.4769,0.492,-0.7001,28.279585,-111.8613,132.14868,216.9649,0.0732,-1.3203,0.0493,-0.558,-0.564,-0.226,-11.4,-13.637,-27.887,1
0.2091,-0.4947,0.4908,-0.686,23.443972,-111.184425,130.56732,218.48808,0.3208,-1.4423,-0.0468,-0.208,-2.101,0.052,-11.4,-13.637,-27.887,1
0.2393,-0.5245,0.4759,-0.6641,22.76147,-111.990814,129.6078,215.44975,0.4589,-0.7954,0.0253,0.546,-1.841,0.166,-13.5,-15.887,-23.837,1
0.246,-0.5292,0.4724,-0.6604,22.00269,-112.2429,129.6812,214.29778,0.4145,-0.7416,0.0361,0.618,-1.888,0.257,-13.5,-15.887,-23.837,1
0.2536,-0.5338,0.4689,-0.6563,21.143139,-112.46097,129.8902,212.8825,0.3916,-0.7182,0.0454,0.664,-1.988,0.426,-13.5,-15.887,-23.837,1
0.2622,-0.5382,0.4658,-0.6515,20.212732,-112.56951,130.28256,211.23581,0.374,-0.7246,0.0224,0.68,-2.126,0.633,-13.5,-15.887,-23.837,1
0.2717,-0.5425,0.4628,-0.6461,17.087694,-112.59601,130.82944,209.38773,0.4008,-0.7373,-0.0302,0.707,-2.256,0.841,-13.5,-15.887,-23.837,1
0.3073,-0.5551,0.4521,-0.6268,16.138752,-112.30043,133.57132,202.09564,0.4653,-0.7607,-0.2089,1.172,-2.803,1.253,-13.5,-15.887,-23.837,1
0.3353,-0.5623,0.4411,-0.6137,3.81217,-111.978195,136.08218,195.67467,0.5009,-0.8046,-0.2026,1.665,-2.805,1.343,-13.5,-15.887,-23.837,1
0.4376,-0.4561,0.4803,-0.608,4.2150292,-98.341034,166.35661,167.29633,0.1376,-0.7807,0.0205,-0.102,1.389,1.335,-8.55,-22.187,32.399,1
0.4382,-0.4495,0.4865,-0.6074,4.7640224,-97.57404,167.82155,167.35991,0.1176,-0.789,0.0166,-0.171,1.262,1.357,-8.55,-22.187,32.399,1
0.4394,-0.4434,0.4926,-0.6062,5.3914075,-96.76665,169.3311,167.44139,0.1054,-0.8164,0.0004,-0.222,1.091,1.435,-8.55,-22.187,32.399,1
0.4414,-0.4378,0.4984,-0.604,6.0748115,-95.894905,170.92023,167.5348,0.081,-0.8422,-0.0107,-0.27,0.822,1.567,-8.55,-22.187,32.399,1
0.4442,-0.4327,0.504,-0.601,6.790121,-94.96415,172.58807,167.63681,0.0419,-0.8481,-0.0307,-0.282,0.592,1.651,-8.55,-22.187,32.399,1
0.4475,-0.428,0.5089,-0.5979,7.509599,-94.0519,174.21751,167.634,0.0317,-0.8544,-0.0537,-0.208,0.409,1.622,-8.55,-22.187,32.399,1
0.4513,-0.4236,0.5128,-0.5947,8.235672,-93.16795,175.7894,167.48517,0.0312,-0.8769,-0.0742,-0.068,0.222,1.575,-8.55,-22.187,32.399,1
0.4557,-0.4194,0.5158,-0.5918,8.907846,-92.315285,177.29929,167.14711,0.0234,-0.8925,-0.0844,0.088,0.07,1.514,-8.55,-22.187,32.399,1
0.4827,-0.382,0.5375,-0.5762,14.561256,-86.31339,187.96646,164.11678,0.0878,-1.1997,0.0766,-0.03,1.092,0.68,1.649,-26.837,28.049,1
0.4777,-0.3747,0.5442,-0.5789,14.968445,-86.04608,188.74037,164.22807,0.0317,-1.1645,0.0952,-0.079,1.13,0.089,1.649,-26.837,28.049,1
0.4745,-0.3725,0.5463,-0.5809,14.764592,-86.141914,188.70781,164.31046,0.0292,-1.142,0.0966,-0.052,0.98,-0.193,1.649,-26.837,28.049,1
0.4615,-0.372,0.5509,-0.5872,14.712601,-87.122536,187.34506,165.42265,0.1547,-1.3061,0.1054,-0.3,0.535,-0.401,1.649,-26.837,28.049,1
0.4581,-0.3716,0.5525,-0.5888,14.815663,-87.33719,187.05386,165.74312,0.1684,-1.3652,0.1298,-0.223,0.724,-0.404,1.649,-26.837,28.049,1
0.453,-0.37,0.5542,-0.592,15.025135,-87.67615,186.59438,165.9529,0.1381,-1.3247,0.1713,-0.094,1.172,-0.606,1.649,-26.837,28.049,1
0.4458,-0.3675,0.5562,-0.5972,15.366331,-88.198006,185.87169,166.12402,0.0668,-1.2299,0.1865,0.05,1.71,-0.927,1.649,-26.837,28.049,1
0.4267,-0.3617,0.5605,-0.6105,16.191397,-89.6478,183.78833,166.71994,-0.0625,-0.9985,0.1557,-0.028,2.207,-1.404,1.649,-26.837,28.049,1
0.3665,-0.383,0.5687,-0.6288,15.55824,-94.79856,172.99928,176.83572,-0.0595,-1.0629,0.1474,-0.482,-0.388,-1.141,1.349,-28.187,-29.687,1
0.3647,-0.3972,0.5604,-0.6285,12.884886,-96.05868,170.20103,178.30246,-0.0488,-1.0322,0.0419,0.075,-1.366,-1.405,1.349,-28.187,-29.687,1
0.3644,-0.4122,0.5457,-0.6319,12.362526,-97.96273,166.78899,178.58241,0.1308,-0.8334,0.0678,0.703,-1.255,-1.698,1.349,-28.187,-29.687,1
0.3625,-0.4183,0.5385,-0.6352,12.16958,-99.03114,164.98337,178.63889,0.2036,-0.7304,0.0893,0.689,-0.867,-1.806,1.349,-28.187,-29.687,1
0.346,-0.4328,0.5255,-0.6455,13.306592,-102.009026,159.38521,181.18488,0.2954,-0.6684,0.1416,-0.193,0.297,-1.9,1.349,-28.187,-29.687,1
0.3383,-0.4366,0.5234,-0.6487,16.40149,-102.86488,157.56454,182.67294,0.3095,-0.6743,0.1328,-0.341,0.476,-1.841,1.349,-28.187,-29.687,1
0.292,-0.4693,0.4916,-0.6728,18.678936,-109.80663,144.49863,191.9612,0.289,-0.9018,0.1152,0.149,0.599,-1.471,-15.0,-31.937,-22.037,1
0.2725,-0.4678,0.4872,-0.6851,21.486172,-111.45306,141.89732,195.07114,0.2529,-1.0297,0.1674,-0.079,1.171,-1.233,-15.0,-31.937,-22.037,1
0.2572,-0.4652,0.4862,-0.6934,23.55938,-112.311165,140.28821,197.97035,0.206,-1.123,0.2055,-0.227,1.368,-1.235,-15.0,-31.937,-22.037,1
0.2407,-0.4632,0.4865,-0.7004,25.463633,-112.87541,138.58809,201.80971,0.1074,-1.2182,0.163,-0.458,1.242,-1.26,-15.0,-31.937,-22.037,1
0.2329,-0.4637,0.4866,-0.7027,26.831753,-113.044914,137.60979,204.04482,0.0634,-1.2568,0.122,-0.569,0.943,-1.282,-15.0,-31.937,-22.037,1
0.2198,-0.4682,0.4862,-0.7042,28.630396,-113.15331,135.46436,208.70804,0.062,-1.2641,0.0761,-0.635,0.232,-1.197,-15.0,-31.937,-22.037,1
0.1993,-0.4928,0.4835,-0.6953,28.031967,-112.346,129.58194,220.05634,0.0869,-1.0981,-0.0732,-0.406,-1.16,-0.446,-15.0,-31.937,-22.037,1
0.2021,-0.5002,0.4821,-0.6902,27.289095,-112.19356,128.80087,220.81131,0.1601,-1.122,-0.1245,-0.321,-1.906,-0.268,-15.0,-31.937,-22.037,1
0.2074,-0.5089,0.4801,-0.6836,25.457764,-112.08375,128.10712,221.1039,0.2919,-1.1303,-0.1494,-0.193,-2.541,-0.05,-23.55,30.149,-15.437,1
0.2225,-0.5262,0.475,-0.6692,16.194113,-112.05011,127.28019,220.33374,0.6,-1.0434,-0.1225,0.166,-2.801,0.33,-23.55,30.149,-15.437,1
0.3115,-0.5459,0.4554,-0.6304,12.338027,-111.90863,135.5002,199.47224,0.5151,-0.9975,-0.1303,1.103,-1.408,1.824,-23.55,30.149,-15.437,1
0.3698,-0.5159,0.4622,-0.6191,8.201486,-107.373245,148.13158,183.1081,0.392,-0.7709,0.0883,1.053,0.697,1.922,-23.55,30.149,-15.437,1
0.4348,-0.4196,0.5294,-0.5953,8.911888,-93.176056,175.8678,171.0572,-0.0366,-1.0141,-0.06,0.498,0.204,1.544,-27.75,32.249,-11.687,1
0.4395,-0.4145,0.5317,-0.5933,9.619092,-92.35638,177.42747,170.30287,0.0175,-1.0024,-0.0581,0.423,0.153,1.526,-27.75,32.249,-11.687,1
0.4438,-0.4099,0.5345,-0.5909,10.330213,-91.536934,178.95114,169.78242,0.0878,-1.0229,-0.0439,0.239,0.139,1.509,-27.75,32.249,-11.687,1
0.447,-0.4055,0.5379,-0.5884,11.0893135,-90.759796,180.38722,169.51157,0.1235,-1.0512,-0.038,0.031,0.299,1.446,-27.75,32.249,-11.687,1
0.4492,-0.4008,0.542,-0.5862,11.85755,-90.00881,181.78938,169.37314,0.1289,-1.1132,-0.0493,-0.121,0.517,1.349,-27.75,32.249,-11.687,1
0.4516,-0.3918,0.551,-0.582,13.202704,-88.62456,184.3909,169.43,0.122,-1.2114,-0.0673,-0.298,0.667,1.151,-27.75,32.249,-11.687,1
0.4519,-0.388,0.5551,-0.5805,13.698433,-88.084015,185.41978,169.52866,0.1147,-1.2612,-0.0415,-0.286,0.678,0.925,-27.75,32.249,-11.687,1
0.4514,-0.3849,0.5585,-0.5796,14.0463705,-87.70441,186.1555,169.65866,0.0981,-1.2739,-0.041,-0.262,0.68,0.659,-14.85,-23.087,-20.387,1
0.4507,-0.3826,0.5609,-0.5794,14.219147,-87.47673,186.61063,169.72794,0.0634,-1.2993,-0.0458,-0.153,0.562,0.398,-14.85,-23.087,-20.387,1
0.4501,-0.3813,0.562,-0.5796,14.181813,-87.3926,186.7916,169.7302,0.0224,-1.3041,-0.0468,-0.019,0.349,0.14,-14.85,-23.087,-20.387,1
0.4496,-0.3812,0.5616,-0.5804,13.973612,-87.48633,186.63562,169.65126,-0.0263,-1.2714,-0.0195,0.094,0.091,-0.154,-14.85,-23.087,-20.387,1
0.449,-0.3822,0.5602,-0.5816,13.705616,-87.725815,186.20096,169.57297,-0.0112,-1.2348,0.0312,0.172,-0.077,-0.405,-14.85,-23.087,-20.387,1
0.4482,-0.3836,0.5585,-0.5829,12.86465,-88.02207,185.65852,169.52327,0.0361,-1.2036,0.0815,0.157,-0.132,-0.524,-14.85,-23.087,-20.387,1
0.4414,-0.3883,0.5539,-0.5894,12.885477,-89.33678,183.30171,169.72937,0.1943,-1.1059,0.2011,0.071,0.674,-0.693,-14.85,-23.087,-20.387,1
0.4184,-0.3875,0.5576,-0.6031,13.177871,-91.28924,179.91463,171.46417,0.2104,-0.9492,0.1274,-0.542,1.497,-1.244,-14.85,-23.087,-20.387,1
0.3995,-0.3949,0.5608,-0.608,12.675434,-92.84241,176.52399,174.82233,0.1723,-1.0869,0.1259,-0.529,0.117,-0.983,-14.85,-23.087,-20.387,1
0.3967,-0.3985,0.5598,-0.6084,12.42285,-93.25641,175.57626,175.55438,0.184,-1.1162,0.187,-0.365,-0.175,-0.9,-14.85,-23.087,-20.387,1
0.3831,-0.4095,0.5558,-0.6136,11.798959,-95.06479,171.61836,178.12164,0.0209,-1.0078,0.101,-0.152,0.118,-1.084,-15.6,-17.237,-19.337,1
0.3801,-0.4136,0.553,-0.6152,11.268999,-95.69036,170.32639,178.69792,-0.0009,-0.9453,0.0634,-0.054,-0.258,-1.255,-15.6,-17.237,-19.337,1
0.3777,-0.4193,0.5488,-0.6166,10.1678,-96.43936,168.80164,179.28278,0.0405,-0.875,0.0625,0.053,-0.666,-1.435,-15.6,-17.237,-19.337,1
0.3726,-0.4322,0.5382,-0.6201,10.50359,-98.21259,165.30724,180.4174,0.2456,-0.7485,0.1376,0.157,-0.733,-1.704,-15.6,-17.237,-19.337,1
0.3499,-0.45,0.5242,-0.6326,11.355223,-101.795715,158.0704,184.19366,0.2968,-0.644,0.1098,-0.185,0.281,-1.744,-15.6,-17.237,-19.337,1
0.3442,-0.4541,0.5212,-0.6352,11.682776,-102.58782,156.39879,185.29547,0.2773,-0.6542,0.1083,-0.166,0.101,-1.661,-15.6,-17.237,-19.337,1
0.3395,-0.4585,0.5179,-0.6373,11.922432,-103.33274,154.83649,186.29689,0.2646,-0.6752,0.0854,-0.077,-0.105,-1.546,-15.6,-17.237,-19.337,1
0.336,-0.4627,0.5141,-0.6391,12.099208,-104.03835,153.45552,187.02005,0.2495,-0.7148,0.0683,0.057,-0.266,-1.397,-15.6,-17.237,-19.337,1
0.3336,-0.4665,0.51,-0.6409,14.717717,-104.70933,152.27206,187.42891,0.246,-0.7587,0.0356,0.235,-0.357,-1.236,-15.6,-17.237,-19.337,1
0.3186,-0.481,0.4767,-0.6631,16.631468,-109.901276,145.68837,186.27808,0.2773,-0.9013,0.0908,0.417,0.099,-1.227,-28.5,-17.987,-13.487,1
0.2996,-0.4814,0.4696,-0.6766,18.440163,-112.07385,142.65851,188.60944,0.3305,-1.2011,0.2416,-0.078,1.206,-1.005,-28.5,-17.987,-13.487,1
0.2842,-0.476,0.4717,-0.6855,20.450428,-112.79833,141.51208,191.19032,0.2133,-1.25,0.1518,-0.409,1.708,-0.982,-28.5,-17.987,-13.487,1
0.2686,-0.472,0.4753,-0.6921,22.132324,-113.195854,140.29327,194.69897,0.0927,-1.2563,0.0429,-0.616,1.339,-0.913,-28.5,-17.987,-13.487,1
0.2554,-0.4712,0.4782,-0.6956,23.48178,-113.3659,138.938,198.42639,0.0703,-1.1958,0.0493,-0.682,0.87,-0.841,-28.5,-17.987,-13.487,1
0.2429,-0.4709,0.4818,-0.6978,25.92444,-113.265724,137.63388,202.30089,0.0952,-1.1313,0.1181,-0.757,0.867,-0.735,-28.5,-17.987,-13.487,1
0.2396,-0.4995,0.4836,-0.6775,22.703356,-111.97541,133.37425,210.43332,0.352,-0.9785,-0.1069,0.257,-2.41,-0.042,-28.2,-14.387,-12.137,1
0.2602,-0.5245,0.4713,-0.6595,20.340504,-112.38501,132.09824,209.2372,0.4584,-0.8247,-0.082,0.324,-2.787,0.075,-28.2,-14.387,-12.137,1
0.2779,-0.5398,0.462,-0.6463,16.985725,-112.64396,131.97585,206.99872,0.5483,-0.9199,0.0122,0.643,-2.852,0.443,-28.2,-14.387,-12.137,1
0.309,-0.5526,0.4491,-0.6303,16.191328,-112.727295,133.92749,200.37772,0.602,-0.8857,0.0195,1.07,-2.172,1.003,-28.2,-14.387,-12.137,1
